name,name_ko,current_lat,current_lon,kakao_lat,kakao_lon,distance_m,kakao_url,flagged
Sarukame,사루카메,37.5610362571878,126.922705882899,37.5610362571878,126.922705882899,0.0,http://place.map.kakao.com/560657944,no
Seokyonanmyunbang,서교난면방,37.553583157798776,126.91231547459775,37.553583157798776,126.91231547459775,0.0,http://place.map.kakao.com/1437270529,no
Seoryung,서령,37.55846234223722,126.97549698076399,37.55846234223722,126.97549698076399,0.0,http://place.map.kakao.com/1644608542,no
SIIO,시오,37.5205388951523,127.039184979459,37.5205388951523,127.039184979459,0.0,http://place.map.kakao.com/1459803254,no
Sobajuu,소바쥬,37.541265225109,126.946294706761,37.541265225109,126.946294706761,0.0,http://place.map.kakao.com/619030447,no
Sobakeeri Suzu,소바키리 스즈,37.5594931690156,127.012431633842,37.5594931690156,127.012431633842,0.0,http://place.map.kakao.com/59179379,no
Soigné,스와니예,37.5195103994699,127.019105809157,37.5195103994699,127.019105809157,0.0,http://place.map.kakao.com/1469290862,no
Solbam,솔밤,37.515714726279604,127.03400526007886,37.515714726279604,127.03400526007886,0.0,http://place.map.kakao.com/2007100531,no
Sonnet,소넷,37.52629338614902,127.03704984554204,37.52629338614902,127.03704984554204,0.0,http://place.map.kakao.com/1895081236,no
Sooksoodoga,숙수도가,37.5935287830442,127.015408474938,37.5935287830442,127.015408474938,0.0,http://place.map.kakao.com/1518107433,no
Joo052,주052,37.563540519373,127.03760025583958,37.563540519373,127.03760025583958,0.0,http://place.map.kakao.com/2007025726,no
Soseoul Hannam,소설한남,37.5351376685516,127.00913061266702,37.5351376685516,127.00913061266702,0.0,http://place.map.kakao.com/2043675805,no
Sosuheon,소수헌,37.5529550203514,126.963407745402,37.5529550203514,126.963407745402,0.0,http://place.map.kakao.com/512316559,no
Soul,소울,37.54538856585543,126.9843785173194,37.54538856585543,126.9843785173194,0.0,http://place.map.kakao.com/404432674,no
STAY,스테이,37.5122945903911,127.10248955986,37.5122945903911,127.10248955986,0.0,http://place.map.kakao.com/26239641,no
Subaru,스바루,37.4923827642292,126.986127574349,37.4923827642292,126.986127574349,0.0,http://place.map.kakao.com/571866340,no
Sushi Matsumoto,스시 마츠모토,37.5257984241973,127.045659814413,37.5257984241973,127.045659814413,0.0,http://place.map.kakao.com/1784630600,no
Table for Four,테이블 포 포,37.534660374914516,127.00523847177902,37.534660374914516,127.00523847177902,0.0,http://place.map.kakao.com/14650440,no
Tasty Cube,정육면체,37.5567835050414,126.934552945136,37.5567835050414,126.934552945136,0.0,http://place.map.kakao.com/1705674698,no
Tenjimon,텐지몽,37.5224142032418,127.054308300871,37.5224142032418,127.054308300871,0.0,http://place.map.kakao.com/147778622,no
Teppan,테판,37.53921051798946,126.99754467073737,37.53921051798946,126.99754467073737,0.0,http://place.map.kakao.com/1381461764,no
The Green Table,더 그린테이블,37.57776183677381,126.98835777941869,37.57776183677381,126.98835777941869,0.0,http://place.map.kakao.com/11833883,no
The Ninth Gate,나인스 게이트,37.56448187751539,126.98016963334433,37.56448187751539,126.98016963334433,0.0,http://place.map.kakao.com/8225675,no
Tim Ho Wan,팀호완,37.5114270736423,127.056847505366,37.5114270736423,127.056847505366,0.0,http://place.map.kakao.com/1770731230,no
Toc Toc,톡톡,37.52239707691486,127.05432412573423,37.52239707691486,127.05432412573423,0.0,http://place.map.kakao.com/23490935,no
Tongue & Groove Joint,텅 앤 그루브 조인트,37.5340855260102,126.994533023467,37.5340855260102,126.994533023467,0.0,http://place.map.kakao.com/27549051,no
Trid,트리드,37.526706300862216,127.0416883763941,37.526706300862216,127.0416883763941,0.0,http://place.map.kakao.com/744607127,no
Tutoiement,뛰뚜아멍,37.5496478133953,127.066679967219,37.5496478133953,127.066679967219,0.0,http://place.map.kakao.com/994277176,no
Vault Steakhouse,볼트 스테이크하우스,37.524984179317826,127.04497942299255,37.524984179317826,127.04497942299255,0.0,http://place.map.kakao.com/484791301,no
VINHO,빈호,37.518596682644,127.0381150018025,37.518596682644,127.0381150018025,0.0,http://place.map.kakao.com/1972526906,no
Woo Lae Oak,우래옥,37.56821185731751,126.99871865898974,37.56821185731751,126.99871865898974,0.0,http://place.map.kakao.com/8025375,no
y'east,이스트,37.52636502636806,127.0355497850799,37.52636502636806,127.0355497850799,0.0,http://place.map.kakao.com/853920783,no
Yakitori Kiyu,야키토리 키유,37.54057550667603,126.95149222069634,37.54057550667603,126.95149222069634,0.0,http://place.map.kakao.com/1766791669,no
Yakitori Mook,야키토리 묵,37.56465767525135,126.92458444562307,37.56465767525135,126.92458444562307,0.0,http://place.map.kakao.com/677911355,no
Yangyang Memil Makguksu,양양 메밀 막국수,37.4925163469457,126.9882850843,37.4925163469457,126.9882850843,0.0,http://place.map.kakao.com/16013228,no
Yonggeumok,용금옥,37.57979056361188,126.97089139491057,37.57979056361188,126.97089139491057,0.0,http://place.map.kakao.com/9369587,no
Youhan,유한,37.5348037452399,127.001086164695,37.5348037452399,127.001086164695,0.0,http://place.map.kakao.com/402576639,no
YUN,윤서울,37.5241213484777,127.038983226253,37.5241213484777,127.038983226253,0.0,http://place.map.kakao.com/312810588,no
Yurimmyeon,유림면,37.564237853813395,126.9760949785008,37.564237853813395,126.9760949785008,0.0,http://place.map.kakao.com/10679979,no
Zero Complex,제로 컴플렉스,37.52084341108,126.992854141857,37.52084341108,126.992854141857,0.0,http://place.map.kakao.com/1327613685,no
Zhonghuafuchun Salon,중화복춘 살롱,37.5607231311639,126.923351339854,37.5607231311639,126.923351339854,0.0,http://place.map.kakao.com/1382337664,no
